Station;Sampledate;IsIntegrated;Chl-a (mg m^-3;Notes;Depth
C1;1991-02-06 08:00:00;1;0,29;;20
A13;1991-02-08 11:00:00;1;0,14;;20
A13;1991-03-13 09:00:00;1;0,05;;20
C1;1991-03-14 15:30:00;1;0,39;;20
B01;1991-04-23 08:40:00;1;0,48;;20
C1;1991-04-24 09:15:00;1;2,84;;20
B3;1991-04-25 10:30:00;1;3,47;;14
C4;1991-05-14 10:00:00;1;4,24;;20
C1;1991-05-15 10:00:00;1;4,14;;20
A13;1991-05-17 08:30:00;1;0,88;;20
B3;1991-05-22 09:00:00;1;1,59;;14
C1;1991-05-29 09:45:00;1;2,75;;20
B3;1991-05-30 08:00:00;1;2,07;;14
A13;1991-06-11 09:00:00;1;0,96;;20
C1;1991-06-12 09:00:00;1;1,93;;20
B3;1991-06-13 08:00:00;1;2,07;;14
C4;1991-06-25 08:45:00;1;1,88;;20
C1;1991-06-26 08:15:00;1;2,60;;20
A13;1991-06-27 10:00:00;1;2,22;;20
B3;1991-06-28 09:00:00;1;2,60;;14
C4;1991-07-09 08:45:00;1;1,73;;20
C1;1991-07-10 08:00:00;1;1,54;;20
A13;1991-07-11 10:00:00;1;2,17;;20
B3;1991-07-12 09:00:00;1;2,99;;14
C4;1991-07-23 09:00:00;1;1,01;;20
C1;1991-07-24 10:15:00;1;1,25;;20
B3;1991-07-26 08:45:00;1;1,20;;14
A13;1991-07-31 12:00:00;1;1,45;;20
A13;1991-08-06 10:30:00;1;1,45;;20
C1;1991-08-07 09:45:00;1;1,69;;20
B3;1991-08-08 09:30:00;1;1,06;;14
A13;1991-08-21 09:00:00;1;1,11;;20
B3;1991-08-22 08:30:00;1;1,16;;14
C1;1991-08-23 10:30:00;1;1,64;;20
C4;1991-09-03 10:00:00;1;1,49;;20
B3;1991-09-04 09:00:00;1;0,63;;14
B01;1991-09-05 14:00:00;1;1,45;;20
C1;1991-09-17 12:15:00;1;1,73;;20
A13;1991-09-18 08:30:00;1;1,73;;20
B3;1991-09-19 07:45:00;1;1,78;;14
A13;1991-10-01 12:30:00;1;1,25;;20
C1;1991-10-02 09:30:00;1;1,54;;20
B3;1991-10-03 08:15:00;1;1,83;;14
A13;1991-10-16 10:00:00;1;1,83;;20
B3;1991-10-17 10:15:00;1;1,35;;14
C1;1991-10-19 07:30:00;1;1,41;;20
A13;1991-11-06 09:00:00;1;0,72;;20
C1;1991-12-10 10:45:00;1;0,69;;20
A13;1991-12-11 09:15:00;1;0,59;;20
B3;1991-12-12 09:15:00;1;0,54;;14
A13;1992-01-08 09:45:00;1;0,34;;20
C1;1992-01-09 10:00:00;1;0,24;;20
B3;1992-01-10 10:30:00;1;0,39;;14
B01;1992-04-07 10:00:00;1;0,43;;20
C1;1992-04-08 08:45:00;1;0,63;;20
B3;1992-04-09 08:30:00;1;5,35;;14
A13;1992-04-21 08:45:00;1;0,77;;20
B3;1992-04-22 14:30:00;1;4,82;;14
C1;1992-04-24 07:30:00;1;1,98;;20
A13;1992-05-05 09:45:00;1;1,69;;20
B3;1992-05-06 12:30:00;1;3,90;;14
C1;1992-05-07 07:30:00;1;5,06;;20
A13;1992-05-19 08:30:00;1;1,54;;20
C1;1992-05-20 08:30:00;1;5,30;;20
B3;1992-05-21 09:45:00;1;3,90;;14
B3;1992-06-02 09:00:00;1;1,59;;14
B3;1992-06-17 09:00:00;1;3,76;;14
B3;1992-06-30 09:30:00;1;1,98;;14
C1;1992-06-30 20:00:00;1;1,93;;20
B3;1992-07-14 08:30:00;1;2,89;;14
C1;1992-07-14 19:30:00;1;1,49;;20
B3;1992-07-28 09:00:00;1;1,76;;14
B3;1992-08-11 08:45:00;1;2,08;;14
C1;1992-08-11 18:00:00;1;1,42;;20
B3;1992-08-25 08:45:00;1;1,32;;14
C6;1992-08-25 18:00:00;1;1,40;;20
C15;1992-08-26 10:00:00;1;1,93;;20
C4;1992-08-26 04:00:00;1;1,88;;20
B01;1992-08-27 02:30:00;1;1,40;;20
A5;1992-08-27 14:00:00;1;1,59;;20
A13;1992-08-27 05:00:00;1;1,20;;20
B3;1992-09-08 09:30:00;1;0,43;;14
C1;1992-09-08 20:00:00;1;1,69;;20
B3;1992-09-22 09:00:00;1;0,77;;14
C1;1992-09-22 20:00:00;1;1,49;;20
B3;1992-10-06 09:00:00;1;0,81;;14
C1;1992-10-06 20:00:00;1;1,59;;20
B3;1992-10-21 09:00:00;1;1,19;;14
C15;1992-10-22 01:15:00;1;0,87;;20
C4;1992-10-22 05:00:00;1;1,69;;20
C6;1992-10-22 16:30:00;1;0,92;;20
B3;1992-11-03 09:15:00;1;1,51;;14
B3;1992-12-01 09:00:00;1;0,72;;14
B3;1993-01-12 10:15:00;1;0,63;;14
C1;1993-01-12 20:00:00;1;0,24;;20
B3;1993-01-28 09:30:00;1;0,14;;14
B3;1993-02-09 09:45:00;1;0,72;;14
C1;1993-02-09 20:00:00;1;0,43;;20
B3;1993-02-23 10:30:00;1;0,36;;14
B3;1993-03-25 08:30:00;1;2,02;;14
B3;1993-04-06 10:45:00;1;4,14;;14
B3;1993-04-20 09:45:00;1;3,33;;14
C1;1993-04-20 20:00:00;1;1,45;;20
B01;1993-05-04 08:00:00;1;0,63;;20
B3;1993-05-05 09:00:00;1;2,87;;14
C1;1993-05-05 00:00:00;1;2,65;;20
B01;1993-05-18 08:00:00;1;1,01;;20
A5;1993-05-18 15:15:00;1;1,78;;20
A13;1993-05-18 10:30:00;1;0,87;;20
B3;1993-05-19 08:00:00;1;1,40;;14
C1;1993-05-19 19:15:00;1;3,35;;20
C15;1993-05-20 13:15:00;1;2,99;;20
C4;1993-05-20 07:00:00;1;4,63;;20
B3;1993-06-01 09:15:00;1;1,64;;14
C1;1993-06-01 20:00:00;1;2,41;;20
B01;1993-06-15 07:30:00;1;0,92;;20
A5;1993-06-15 15:30:00;1;0,63;;20
A13;1993-06-15 10:00:00;1;0,96;;20
B3;1993-06-16 08:15:00;1;1,11;;14
C1;1993-06-16 21:30:00;1;1,88;;20
C15;1993-06-17 14:00:00;1;2,41;;20
C4;1993-06-17 08:20:00;1;2,22;;20
B3;1993-06-29 09:00:00;1;2,17;;14
A13;1993-07-13 08:30:00;1;1,06;;20
C1;1993-07-14 07:30:00;1;1,59;;20
B3;1993-07-15 07:00:00;1;1,54;;14
A13;1993-07-27 09:45:00;1;1,40;;20
C1;1993-07-28 09:15:00;1;1,45;;20
C4;1993-08-09 23:00:00;1;1,40;;20
C15;1993-08-10 06:45:00;1;1,25;;20
C1;1993-08-10 13:00:00;1;1,54;;20
B01;1993-08-11 23:50:00;1;1,01;;20
A5;1993-08-11 18:00:00;1;1,16;;20
A13;1993-08-11 09:30:00;1;1,11;;20
B3;1993-08-12 11:15:00;1;1,35;;14
A13;1993-08-24 09:30:00;1;1,01;;14
B3;1993-08-25 09:00:00;1;1,83;;14
C1;1993-08-26 09:00:00;1;1,59;;14
B01;1993-09-07 22:30:00;1;1,01;;14
A5;1993-09-07 16:15:00;1;1,11;;14
A13;1993-09-07 07:15:00;1;1,11;;14
B3;1993-09-08 07:30:00;1;0,05;;14
C15;1993-09-09 07:30:00;1;2,31;;14
C4;1993-09-09 00:45:00;1;2,31;;14
C1;1993-09-09 11:45:00;1;1,83;;14
B3;1993-09-21 09:00:00;1;0,84;;14
C1;1993-10-20 11:00:00;1;1,11;;14
B3;1993-10-21 09:00:00;1;0,58;;14
C15;1993-11-16 15:15:00;1;0,58;;14
C4;1993-11-16 06:00:00;1;0,68;;14
A3;1993-11-17 09:40:00;1;0,53;;14
A5;1993-11-17 18:00:00;1;0,87;;14
A13;1993-11-18 09:00:00;1;0,63;;14
C1;1993-11-19 08:45:00;1;0,77;;14
B3;1993-11-23 09:15:00;1;0,71;;14
A13;1993-12-14 09:00:00;1;0,19;;14
B3;1993-12-16 09:30:00;1;0,58;;14
C4;1994-01-10 23:00:00;1;10,90;Filter Millipore HA 0,45 um;14
C15;1994-01-11 05:30:00;1;9,92;Filter Millipore HA 0,45 um;14
C1;1994-01-11 10:30:00;1;11,79;Filter Millipore HA 0,45 um;14
B3;1994-01-12 08:00:00;1;10,32;Filter Millipore HA 0,45 um;14
B01;1994-01-13 18:20:00;1;0,95;Filter Millipore HA 0,45 um;14
A13;1994-01-13 09:15:00;1;7,81;Filter Millipore HA 0,45 um;14
B3;1994-02-23 10:10:00;1;3,90;Filter Millipore HA 0,45 um;14
B3;1994-03-22 09:40:00;1;1,34;Filter Millipore HA 0,45 um;14
C1;1994-03-24 07:30:00;1;1,61;Filter Millipore HA 0,45 um;14
C15;1994-04-12 14:00:00;1;33,85;Filter Millipore HA 0,45 um;14
C4;1994-04-12 07:10:00;1;30,40;Filter Millipore HA 0,45 um;14
C1;1994-04-13 08:00:00;1;26,18;Filter Millipore HA 0,45 um;14
B3;1994-04-15 10:00:00;1;9,11;Filter Millipore HA 0,45 um;14
C1;1994-05-03 08:00:00;1;16,33;Filter Millipore HA 0,45 um;14
A13;1994-05-04 08:00:00;1;2,01;Filter Millipore HA 0,45 um;14
B3;1994-05-05 10:00:00;1;4,43;Filter Millipore HA 0,45 um;14
C4;1994-05-16 22:00:00;1;10,64;Filter Millipore HA 0,45 um;14
C15;1994-05-17 04:10:00;1;15,45;Filter Millipore HA 0,45 um;14
C1;1994-05-17 08:30:00;1;11,04;Filter Millipore HA 0,45 um;14
B01;1994-05-18 01:30:00;1;3,08;Filter Millipore HA 0,45 um;14
A5;1994-05-18 15:15:00;1;3,77;Filter Millipore HA 0,45 um;14
A13;1994-05-18 08:30:00;1;2,21;Filter Millipore HA 0,45 um;14
B3;1994-05-19 08:00:00;1;5,38;Filter Millipore HA 0,45 um;14
A13;1994-05-31 08:00:00;1;2,55;Filter Millipore HA 0,45 um;14
C1;1994-06-01 08:00:00;1;6,14;Filter Millipore HA 0,45 um;14
B3;1994-06-02 08:00:00;1;7,56;Filter Millipore HA 0,45 um;14
B3;1994-06-02 08:00:00;1;5,26;Filter Millipore HA 0,45 um;14
B01;1994-06-14 05:00:00;1;5,12;Filter Millipore HA 0,45 um;14
A5;1994-06-14 15:45:00;1;4,51;Filter Millipore HA 0,45 um;14
A13;1994-06-14 07:00:00;1;7,06;Filter Millipore HA 0,45 um;14
C15;1994-06-15 14:00:00;1;4,65;Filter Millipore HA 0,45 um;14
C4;1994-06-15 19:50:00;1;4,49;Filter Millipore HA 0,45 um;14
C1;1994-06-15 08:00:00;1;5,60;Filter Millipore HA 0,45 um;14
B3;1994-06-16 09:00:00;1;5,43;Filter Millipore HA 0,45 um;14
C1;1994-06-28 08:00:00;1;1,25;Filter Millipore HA 0,45 um;14
A13;1994-06-29 08:00:00;1;1,66;Filter Millipore HA 0,45 um;14
B3;1994-06-30 08:00:00;1;3,49;Filter Millipore HA 0,45 um;14
A13;1994-07-12 10:00:00;1;8,39;Filter Millipore HA 0,45 um;14
C1;1994-07-13 09:00:00;1;2,85;Filter Millipore HA 0,45 um;14
B3;1994-07-14 09:30:00;1;3,45;Filter Millipore HA 0,45 um;14
A13;1994-07-26 08:00:00;1;2,80;Filter Millipore HA 0,45 um;14
C1;1994-07-27 08:00:00;1;2,62;Filter Millipore HA 0,45 um;14
B3;1994-07-28 08:00:00;1;3,19;Filter Millipore HA 0,45 um;14
C4;1994-08-08 21:20:00;1;4,13;Filter Millipore HA 0,45 um;14
C15;1994-08-09 02:40:00;1;3,41;Filter Millipore HA 0,45 um;14
C1;1994-08-09 07:30:00;1;2,41;Filter Millipore HA 0,45 um;14
B01;1994-08-10 05:00:00;1;2,68;Filter Millipore HA 0,45 um;14
A5;1994-08-10 15:50:00;1;2,59;Filter Millipore HA 0,45 um;14
A13;1994-08-10 08:00:00;1;3,14;Filter Millipore HA 0,45 um;14
B3;1994-08-11 08:00:00;1;2,54;Filter Millipore HA 0,45 um;14
A13;1994-08-23 08:00:00;1;2,83;Filter Millipore HA 0,45 um;14
C1;1994-08-24 08:00:00;1;4,08;Filter Millipore HA 0,45 um;14
B3;1994-08-25 08:00:00;1;2,87;Filter Millipore HA 0,45 um;14
C4;1994-09-05 22:00:00;1;4,09;Filter Millipore HA 0,45 um;14
C15;1994-09-06 03:40:00;1;1,51;Filter Millipore HA 0,45 um;14
C1;1994-09-06 08:00:00;1;1,73;Filter Millipore HA 0,45 um;14
B01;1994-09-07 06:00:00;1;2,93;Filter Millipore HA 0,45 um;14
A13;1994-09-07 08:45:00;1;2,51;Filter Millipore HA 0,45 um;14
B3;1994-09-08 08:00:00;1;4,00;Filter Millipore HA 0,45 um;14
A5;1994-09-27 14:45:00;1;0,95;Filter Millipore HA 0,45 um;14
B3;1994-09-28 11:20:00;1;2,11;Filter Millipore HA 0,45 um;14
C1;1994-10-11 07:30:00;1;2,32;Filter Millipore HA 0,45 um;14
A13;1994-10-18 08:00:00;1;2,55;Filter Millipore HA 0,45 um;14
C1;1994-10-19 08:00:00;1;2,31;Filter Millipore HA 0,45 um;14
B3;1994-10-20 10:00:00;1;2,85;Filter Millipore HA 0,45 um;14
A5;1994-11-15 18:20:00;1;1,96;Filter Millipore HA 0,45 um;14
A13;1994-11-15 08:00:00;1;1,81;Filter Millipore HA 0,45 um;14
A13;1994-11-15 08:00:00;1;7,53;Filter Millipore HA 0,45 um;14
B01;1994-11-16 05:00:00;1;2,04;Filter Millipore HA 0,45 um;14
C6;1994-11-16 17:45:00;1;2,39;Filter Millipore HA 0,45 um;14
C15;1994-11-17 15:05:00;1;2,14;Filter Millipore HA 0,45 um;14
C4;1994-11-17 20:15:00;1;2,00;Filter Millipore HA 0,45 um;14
C1;1994-11-17 09:00:00;1;1,78;Filter Millipore HA 0,45 um;14
B3;1994-11-21 10:00:00;1;1,89;Filter Millipore HA 0,45 um;14
C1;1994-12-14 07:30:00;1;1,15;Filter Millipore HA 0,45 um;14
B3;1994-12-15 08:30:00;1;0,75;Filter Millipore HA 0,45 um;14
A5;1995-01-10 16:45:00;1;1,15;Filter Millipore HA 0,45 um;14
A13;1995-01-10 08:00:00;1;1,32;Filter Millipore HA 0,45 um;14
B3;1995-01-11 08:00:00;1;1,51;Filter Millipore HA 0,45 um;14
C6;1995-01-12 04:00:00;1;1,55;Filter Millipore HA 0,45 um;14
C1;1995-01-12 08:00:00;1;1,00;Filter Millipore HA 0,45 um;14
B3;1995-01-31 11:00:00;1;1,36;Filter Millipore HA 0,45 um;14
C6;1995-02-02 03:53:00;1;1,79;Filter Millipore HA 0,45 um;14
C1;1995-02-02 08:15:00;1;1,38;Filter Millipore HA 0,45 um;14
B3;1995-02-21 09:00:00;1;1,82;Filter Millipore HA 0,45 um;14
C15;1995-02-22 16:00:00;1;1,37;Filter Millipore HA 0,45 um;14
C4;1995-02-22 22:00:00;1;1,52;Filter Millipore HA 0,45 um;14
C1;1995-02-22 09:00:00;1;1,57;Filter Millipore HA 0,45 um;14
B3;1995-03-14 14:35:00;1;3,99;Filter Millipore HA 0,45 um;14
A13;1995-04-04 09:30:00;1;1,63;Filter Millipore HA 0,45 um;14
C1;1995-04-05 07:15:00;1;2,08;Filter Millipore HA 0,45 um;14
B3;1995-04-06 09:30:00;1;4,80;Filter Millipore HA 0,45 um;14
A13;1995-04-19 07:00:00;1;1,55;Filter Millipore HA 0,45 um;14
B3;1995-04-20 09:30:00;1;19,53;Filter Millipore HA 0,45 um;14
B3;1995-04-25 09:00:00;1;9,56;Filter Millipore HA 0,45 um;14
C1;1995-04-26 07:00:00;1;4,35;Filter Millipore HA 0,45 um;14
B3;1995-05-02 10:00:00;1;8,23;Filter Millipore HA 0,45 um;14
B3;1995-05-02 10:00:00;1;6,19;Filter Millipore HA 0,45 um;14
A13;1995-05-03 08:15:00;1;2,54;Filter Millipore HA 0,45 um;14
C1;1995-05-04 08:15:00;1;7,43;Filter Millipore HA 0,45 um;14
B3;1995-05-16 10:00:00;1;6,19;Filter Millipore HA 0,45 um;14
A13;1995-05-17 11:40:00;1;3,26;Filter Millipore HA 0,45 um;14
C1;1995-05-18 08:55:00;1;14,94;Filter Millipore HA 0,45 um;14
B3;1995-06-01 10:00:00;1;4,56;Filter Millipore HA 0,45 um;14
C1;1995-06-06 15:00:00;1;7,61;;14
A13;1995-06-07 07:15:00;1;4,50;;14
A13;1995-06-27 07:30:00;1;3,27;;14
C1;1995-06-28 07:50:00;1;3,40;;14
B3;1995-06-29 07:15:00;1;2,67;;14
A13;1995-07-11 08:20:00;1;2,87;;14
C1;1995-07-12 08:15:00;1;3,40;;14
B3;1995-07-13 08:55:00;1;3,15;;14
A13;1995-07-25 08:00:00;1;4,61;;14
C1;1995-07-26 07:45:00;1;3,47;;14
B3;1995-07-27 07:50:00;1;3,35;;14
C1;1995-08-08 13:20:00;1;3,78;;14
B3;1995-08-09 08:40:00;1;1,98;;14
A13;1995-08-10 07:50:00;1;2,30;;14
A13;1995-08-22 08:00:00;1;2,47;;14
B3;1995-08-23 08:00:00;1;3,33;;14
C1;1995-08-24 06:30:00;1;3,61;;14
A13;1995-09-05 08:00:00;1;4,08;;14
B3;1995-09-06 09:00:00;1;3,98;;14
B3;1995-09-26 08:00:00;1;3,44;;14
A13;1995-09-27 08:00:00;1;4,37;;14
C1;1995-09-28 06:30:00;1;3,78;;14
A13;1995-10-17 10:00:00;1;3,16;;14
B3;1995-10-18 10:00:00;1;4,03;;14
C1;1995-10-19 09:45:00;1;4,61;;14
C1;1995-11-14 09:20:00;1;1,61;;14
A13;1995-11-16 09:10:00;1;1,49;;14
B3;1995-11-17 11:30:00;1;2,41;;14
A13;1995-11-28 09:30:00;1;0,81;;14
C1;1995-12-01 07:15:00;1;1,22;;14
A13;1995-12-12 08:15:00;1;0,79;;14
B3;1995-12-13 08:10:00;1;1,35;;14
A13;1996-01-09 10:00:00;1;3,78;;14
B3;1996-01-10 09:30:00;1;0,33;;14
C1;1996-01-12 08:00:00;1;0,11;;14
B3;1996-01-31 10:00:00;1;0,14;;14
C1;1996-02-01 08:15:00;1;0,25;;14
C1;1996-02-20 08:20:00;1;0,24;;14
B3;1996-02-22 09:15:00;1;0,09;;14
C1;1996-03-12 10:30:00;1;0,68;;14
B3;1996-03-14 09:15:00;1;0,76;;14
A13;1996-03-21 12:30:00;1;0,25;;14
C1;1996-04-02 09:00:00;1;1,57;;14
B3;1996-04-11 09:30:00;1;1,26;;14
C1;1996-04-23 09:15:00;1;7,84;;14
B3;1996-04-24 11:00:00;1;3,30;;14
C1;1996-05-07 08:00:00;1;4,87;;14
B3;1996-05-09 07:30:00;1;1,89;;14
A13;1996-05-21 09:00:00;1;0,95;;14
C1;1996-05-22 08:00:00;1;2,98;;14
C1;1996-05-22 08:00:00;1;2,74;;14
B3;1996-05-23 08:30:00;1;3,19;;14
A13;1996-06-04 08:15:00;1;0,98;;14
B3;1996-06-05 09:15:00;1;1,17;;14
C1;1996-06-06 08:10:00;1;2,27;;14
A13;1996-06-11 13:00:00;1;1,24;;14
C1;1996-06-12 08:00:00;1;2,45;;14
B3;1996-06-13 09:45:00;1;0,86;;14
B3;1996-06-13 09:45:00;1;0,93;;14
A13;1996-06-25 07:45:00;1;1,22;;14
A13;1996-06-25 07:45:00;1;1,21;;14
C1;1996-06-26 08:00:00;1;1,12;;14
C1;1996-06-26 08:00:00;1;1,19;;14
B3;1996-06-27 06:45:00;1;1,37;;14
B3;1996-06-27 06:45:00;1;1,42;;14
B3;1996-07-10 09:00:00;1;3,51;;14
C1;1996-07-11 06:30:00;1;2,33;;14
A13;1996-07-23 08:00:00;1;1,91;;14
B3;1996-07-24 08:45:00;1;1,13;;14
C1;1996-07-25 06:30:00;1;2,72;;14
A13;1996-08-06 07:00:00;1;1,25;;14
B3;1996-08-07 07:00:00;1;1,98;;14
C1;1996-08-08 11:00:00;1;1,54;;14
A13;1996-08-20 08:00:00;1;2,19;;14
C1;1996-08-21 08:00:00;1;1,34;;14
B3;1996-08-22 08:00:00;1;1,96;;14
A13;1996-09-03 08:00:00;1;1,50;;14
B3;1996-09-04 09:30:00;1;1,84;;14
C1;1996-09-05 07:00:00;1;1,45;;14
A13;1996-09-17 10:30:00;1;0,73;;14
C1;1996-09-18 12:10:00;1;1,40;;14
B3;1996-09-19 08:00:00;1;1,75;;14
A13;1996-10-01 08:00:00;1;2,17;;14
C1;1996-10-02 08:00:00;1;2,04;;14
B3;1996-10-03 08:00:00;1;2,59;;14
A13;1996-10-15 10:30:00;1;1,22;;14
B3;1996-10-16 08:00:00;1;2,07;;14
A13;1996-10-29 08:45:00;1;0,75;;14
B3;1996-10-30 08:30:00;1;1,64;;14
A13;1996-11-12 09:45:00;1;0,46;;14
B3;1996-11-13 10:00:00;1;0,98;;14
C1;1996-11-14 08:00:00;1;0,61;;14
A13;1996-11-26 10:20:00;1;0,21;;14
C1;1996-11-27 11:50:00;1;0,46;;14
B3;1996-11-29 07:40:00;1;0,73;;14
A13;1997-01-14 14:00:00;1;-0,13;;14
B3;1997-01-15 08:45:00;1;0,04;;14
B3;1997-01-15 08:45:00;1;-0,02;;14
C1;1997-01-17 08:00:00;1;0,03;;14
C1;1997-01-17 08:00:00;1;-0,04;;14
B3;1997-02-04 08:30:00;1;-0,02;;14
B3;1997-02-04 08:30:00;1;-0,01;;14
A13;1997-02-05 07:45:00;1;-0,21;;14
A13;1997-02-05 07:45:00;1;-0,20;;14
C1;1997-02-06 07:45:00;1;-0,01;;14
C1;1997-02-06 07:45:00;1;0,00;;14
C1;1997-03-12 09:40:00;1;-0,20;;14
C1;1997-03-12 09:40:00;1;-0,26;;14
B3;1997-03-14 10:00:00;1;-0,11;;14
A13;1997-03-18 11:20:00;1;;;14
C1;1997-04-08 08:00:00;1;0,15;;14
C1;1997-04-08 08:00:00;1;0,13;;14
B3;1997-04-09 08:20:00;1;3,44;;14
C1;1997-04-23 07:20:00;1;2,50;;14
C1;1997-04-23 07:20:00;1;2,28;;14
B3;1997-04-24 08:30:00;1;5,53;;14
B3;1997-04-24 08:30:00;1;4,76;;14
A13;1997-04-29 13:30:00;1;0,39;;14
A13;1997-04-29 13:30:00;1;0,33;;14
B3;1997-05-05 09:00:00;1;2,87;;14
A13;1997-05-06 07:15:00;1;0,12;;14
C1;1997-05-07 06:55:00;1;8,89;;14
C1;1997-05-07 06:55:00;1;;;14
A13;1997-05-13 11:00:00;1;0,60;;14
A13;1997-05-13 11:00:00;1;0,66;;14
B3;1997-05-14 06:00:00;1;8,74;;14
B3;1997-05-14 06:00:00;1;8,62;;14
C1;1997-05-15 12:50:00;1;5,22;;14
C1;1997-05-15 12:50:00;1;5,78;;14
B3;1997-05-26 09:15:00;1;1,77;;14
B3;1997-05-26 09:15:00;1;2,20;;14
A13;1997-05-27 07:00:00;1;1,43;;14
A13;1997-05-27 07:00:00;1;1,30;;14
C1;1997-05-29 06:50:00;1;3,59;;14
C1;1997-05-29 06:50:00;1;2,25;;14
B3;1997-06-09 09:15:00;1;1,34;;14
B3;1997-06-09 09:15:00;1;1,13;;14
C1;1997-06-09 16:20:00;1;;;14
C1;1997-06-09 16:20:00;1;;;14
A13;1997-06-10 08:50:00;1;1,63;;14
A13;1997-06-10 08:50:00;1;2,20;;14
A13;1997-06-24 08:00:00;1;1,44;;14
A13;1997-06-24 08:00:00;1;1,49;;14
C1;1997-06-26 09:10:00;1;1,21;;14
C1;1997-06-26 09:10:00;1;1,32;;14
B3;1997-06-27 07:00:00;1;2,17;;14
B3;1997-06-27 07:00:00;1;2,03;;14
A13;1997-07-08 07:30:00;1;1,64;;14
A13;1997-07-08 07:30:00;1;1,64;;14
B3;1997-07-09 08:40:00;1;2,23;;14
B3;1997-07-09 08:40:00;1;2,19;;14
C1;1997-07-10 06:45:00;1;1,11;;14
C1;1997-07-10 06:45:00;1;1,10;;14
A13;1997-07-22 07:30:00;1;1,42;;14
A13;1997-07-22 07:30:00;1;1,50;;14
C1;1997-07-23 07:00:00;1;0,89;;14
C1;1997-07-23 07:00:00;1;0,86;;14
B3;1997-07-24 07:30:00;1;1,44;;14
B3;1997-07-24 07:30:00;1;1,34;;14
A13;1997-08-05 08:00:00;1;0,91;;14
A13;1997-08-05 08:00:00;1;0,87;;14
C1;1997-08-07 07:30:00;1;0,95;;14
C1;1997-08-07 07:30:00;1;0,92;;14
B3;1997-08-08 06:00:00;1;1,08;;14
A13;1997-08-19 12:15:00;1;0,90;;14
A13;1997-08-19 12:15:00;1;0,90;;14
C1;1997-08-20 10:00:00;1;2,17;;14
C1;1997-08-20 10:00:00;1;2,07;;14
B3;1997-08-22 06:15:00;1;0,94;;14
B3;1997-08-22 06:15:00;1;0,93;;14
A13;1997-09-02 07:15:00;1;2,06;;14
A13;1997-09-02 07:15:00;1;2,19;;14
C1;1997-09-03 07:00:00;1;1,35;;14
C1;1997-09-03 07:00:00;1;1,71;;14
B3;1997-09-04 07:45:00;1;3,03;;14
B3;1997-09-04 07:45:00;1;2,60;;14
A13;1997-09-30 12:50:00;1;1,86;;14
A13;1997-09-30 12:50:00;1;1,97;;14
C1;1997-10-01 09:50:00;1;2,41;;14
B3;1997-10-02 12:30:00;1;3,98;;14
B3;1997-10-02 12:30:00;1;3,92;;14
A13;1997-10-15 08:40:00;1;1,02;;14
A13;1997-10-15 08:40:00;1;1,02;;14
B3;1997-10-17 08:15:00;1;1,48;;14
B3;1997-10-17 08:15:00;1;1,62;;14
C1;1997-10-28 07:20:00;1;0,16;;14
C1;1997-10-28 07:20:00;1;0,12;;14
C1;1997-11-12 08:00:00;1;0,12;;14
C1;1997-11-12 08:00:00;1;0,12;;14
A13;1997-11-13 09:00:00;1;0,20;;14
A13;1997-11-13 09:00:00;1;0,20;;14
A13;1998-01-14 09:40:00;1;0,10;;20
A13;1998-01-14 09:40:00;1;0,10;;20
C1;1998-01-15 09:10:00;1;0,43;;20
C1;1998-01-15 09:10:00;1;0,47;;20
B3;1998-01-21 10:00:00;1;0,14;;20
B3;1998-01-21 10:00:00;1;0,14;;20
B3;1998-02-04 10:30:00;1;0,14;;20
B3;1998-02-04 10:30:00;1;0,14;;20
B3;1998-03-17 10:40:00;1;0,48;;20
B3;1998-03-17 10:40:00;1;0,49;;20
A13;1998-03-30 12:30:00;1;0,27;;20
A13;1998-03-30 12:30:00;1;0,29;;20
C1;1998-04-15 07:20:00;1;3,40;;20
C1;1998-04-15 07:20:00;1;3,41;;20
B3;1998-04-16 13:00:00;1;5,03;;20
B3;1998-04-16 13:00:00;1;4,37;;20
A13;1998-04-28 11:30:00;1;0,27;;20
A13;1998-04-28 11:30:00;1;0,38;;20
B3;1998-04-29 09:30:00;1;3,09;;20
B3;1998-04-29 09:30:00;1;4,42;;20
C1;1998-05-05 07:40:00;1;6,43;;20
C1;1998-05-05 07:40:00;1;6,00;;20
A13;1998-05-12 08:30:00;1;0,80;;20
A13;1998-05-12 08:30:00;1;0,81;;20
B3;1998-05-14 07:20:00;1;1,56;;20
B3;1998-05-14 07:20:00;1;1,50;;20
A13;1998-05-26 07:25:00;1;1,05;;20
A13;1998-05-26 07:25:00;1;1,05;;20
B3;1998-05-28 06:15:00;1;2,81;;20
B3;1998-05-28 06:15:00;1;2,72;;20
A13;1998-06-09 07:10:00;1;1,02;;20
A13;1998-06-09 07:10:00;1;0,98;;20
B3;1998-06-12 06:05:00;1;1,82;;20
B3;1998-06-12 06:05:00;1;1,81;;20
A13;1998-06-23 07:05:00;1;1,26;;20
A13;1998-06-23 07:05:00;1;1,32;;20
B3;1998-06-25 08:15:00;1;2,01;;20
B3;1998-06-25 08:15:00;1;2,15;;20
A13;1998-08-04 11:35:00;1;1,34;;20
A13;1998-08-04 11:35:00;1;1,40;;20
C1;1998-08-06 12:00:00;1;1,28;;20
C1;1998-08-06 12:00:00;1;1,38;;20
GA1;1998-08-06 06:05:00;1;1,25;;20
GA1;1998-08-06 06:05:00;1;1,35;;20
