SWEREF99TM_N,SWEREF99TM_E,Län,Lokal,Fiske,redskapet,Fångstområde1,StationsNr1,DJUPSTRATUM,Störning1,Fiskedatum1,Ansträngning,Fångsttyp1,Artbestämning,Antal1,Vikt,Beräknad_vikt1,Antal_per_anstr1,Fisketid_enhet,Fisketid,Redskap_enhet,Antal_Redskap,Lat_grader,Long_grader,Information
6836838,618619,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,101,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Hornsimpa,4,"0,403","0,478","4,00",natt,1,översiktsnät,1,"61,64647","17,23912",
6836838,618619,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,101,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Lake,1,"1,340","1,359","1,00",natt,1,översiktsnät,1,"61,64647","17,23912",
6836838,618619,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,101,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Mört,19,"0,934","0,997","19,00",natt,1,översiktsnät,1,"61,64647","17,23912",
6836838,618619,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,101,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Sik,3,"0,663","0,812","3,00",natt,1,översiktsnät,1,"61,64647","17,23912",
6836838,618619,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,101,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Strömming,11,"0,279","0,330","11,00",natt,1,översiktsnät,1,"61,64647","17,23912",
6836838,618619,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,101,"0,1-3 m",NEJ,2010-11-01,1,Sälskadad fångst ,Sik,1,,,"1,00",natt,1,översiktsnät,1,"61,64647","17,23912",
6836838,618619,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,101,"0,1-3 m",NEJ,2010-11-01,1,Sälskadad fångst ,Strömming,1,"0,023","0,028","1,00",natt,1,översiktsnät,1,"61,64647","17,23912",
6835787,618181,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,102,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Hornsimpa,5,"1,101","0,949","5,00",natt,1,översiktsnät,1,"61,63718","17,23018",
6835787,618181,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,102,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Storspigg,2,"0,007","0,007","2,00",natt,1,översiktsnät,1,"61,63718","17,23018",
6835787,618181,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,102,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Strömming,1,"0,025","0,028","1,00",natt,1,översiktsnät,1,"61,63718","17,23018",
6835787,618181,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,102,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Tånglake,1,"0,085","0,084","1,00",natt,1,översiktsnät,1,"61,63718","17,23018",
6835013,616678,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,103, 3-6 m,NEJ,2010-11-03,1,Provfiskad ,Gärs,1,"0,070","0,056","1,00",natt,1,översiktsnät,1,"61,63070","17,20135",
6835013,616678,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,103, 3-6 m,NEJ,2010-11-03,1,Provfiskad ,Hornsimpa,16,"2,351","2,270","16,00",natt,1,översiktsnät,1,"61,63070","17,20135",
6835013,616678,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,103, 3-6 m,NEJ,2010-11-03,1,Provfiskad ,Mört,10,"0,485","0,539","10,00",natt,1,översiktsnät,1,"61,63070","17,20135",
6835013,616678,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,103, 3-6 m,NEJ,2010-11-03,1,Provfiskad ,Nors,6,"0,171","0,166","6,00",natt,1,översiktsnät,1,"61,63070","17,20135",
6835013,616678,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,103, 3-6 m,NEJ,2010-11-03,1,Provfiskad ,Sik,3,"0,519","0,581","3,00",natt,1,översiktsnät,1,"61,63070","17,20135",
6835013,616678,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,103, 3-6 m,NEJ,2010-11-03,1,Provfiskad ,Siklöja,3,"0,170","0,206","3,00",natt,1,översiktsnät,1,"61,63070","17,20135",
6835013,616678,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,103, 3-6 m,NEJ,2010-11-03,1,Provfiskad ,Skarpsill,1,"0,010","0,011","1,00",natt,1,översiktsnät,1,"61,63070","17,20135",
6835013,616678,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,103, 3-6 m,NEJ,2010-11-03,1,Provfiskad ,Strömming,29,"1,033","1,024","29,00",natt,1,översiktsnät,1,"61,63070","17,20135",
6835798,619897,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,104,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Hornsimpa,4,"0,684","0,686","4,00",natt,1,översiktsnät,1,"61,63675","17,26253",
6835798,619897,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,104,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Mört,2,"0,123","0,133","2,00",natt,1,översiktsnät,1,"61,63675","17,26253",
6835798,619897,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,104,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Nors,1,"0,020","0,019","1,00",natt,1,översiktsnät,1,"61,63675","17,26253",
6835798,619897,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,104,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Sik,3,"0,695","0,759","3,00",natt,1,översiktsnät,1,"61,63675","17,26253",
6835798,619897,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,104,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Storspigg,1,"0,003","0,002","1,00",natt,1,översiktsnät,1,"61,63675","17,26253",
6835798,619897,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,104,"0,1-3 m",NEJ,2010-11-01,1,Provfiskad ,Strömming,11,"0,335","0,376","11,00",natt,1,översiktsnät,1,"61,63675","17,26253",
6834858,622274,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,105,"0,1-3 m",NEJ,2010-11-02,1,Provfiskad ,Hornsimpa,4,"0,707","0,718","4,00",natt,1,översiktsnät,1,"61,62757","17,30673",
6834858,622274,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,105,"0,1-3 m",NEJ,2010-11-02,1,Provfiskad ,Nors,1,"0,058","0,067","1,00",natt,1,översiktsnät,1,"61,62757","17,30673",
6834858,622274,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,105,"0,1-3 m",NEJ,2010-11-02,1,Provfiskad ,Skarpsill,1,"0,008","0,011","1,00",natt,1,översiktsnät,1,"61,62757","17,30673",
6834858,622274,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,105,"0,1-3 m",NEJ,2010-11-02,1,Provfiskad ,Strömming,19,"0,520","0,519","19,00",natt,1,översiktsnät,1,"61,62757","17,30673",
6834239,615641,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,106,"0,1-3 m",NEJ,2010-11-03,1,Provfiskad ,Abborre,1,"0,079","0,092","1,00",natt,1,översiktsnät,1,"61,62407","17,18130",Station 106 ligger väldigt nära farleden som passerar genom ett trångt sund. Bra att tänka på om koppla samman sik med säl då inga sälar observerades just i detta smala passage
6834239,615641,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,106,"0,1-3 m",NEJ,2010-11-03,1,Provfiskad ,Gärs,2,"0,067","0,064","2,00",natt,1,översiktsnät,1,"61,62407","17,18130",Station 106 ligger väldigt nära farleden som passerar genom ett trångt sund. Bra att tänka på om koppla samman sik med säl då inga sälar observerades just i detta smala passage
6834239,615641,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,106,"0,1-3 m",NEJ,2010-11-03,1,Provfiskad ,Hornsimpa,14,"2,192","2,323","14,00",natt,1,översiktsnät,1,"61,62407","17,18130",Station 106 ligger väldigt nära farleden som passerar genom ett trångt sund. Bra att tänka på om koppla samman sik med säl då inga sälar observerades just i detta smala passage
6834239,615641,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,106,"0,1-3 m",NEJ,2010-11-03,1,Provfiskad ,Mört,8,"0,522","0,555","8,00",natt,1,översiktsnät,1,"61,62407","17,18130",Station 106 ligger väldigt nära farleden som passerar genom ett trångt sund. Bra att tänka på om koppla samman sik med säl då inga sälar observerades just i detta smala passage
6834239,615641,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,106,"0,1-3 m",NEJ,2010-11-03,1,Provfiskad ,Nors,1,"0,023","0,023","1,00",natt,1,översiktsnät,1,"61,62407","17,18130",Station 106 ligger väldigt nära farleden som passerar genom ett trångt sund. Bra att tänka på om koppla samman sik med säl då inga sälar observerades just i detta smala passage
6834239,615641,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,106,"0,1-3 m",NEJ,2010-11-03,1,Provfiskad ,Sik,6,"1,161","1,250","6,00",natt,1,översiktsnät,1,"61,62407","17,18130",Station 106 ligger väldigt nära farleden som passerar genom ett trångt sund. Bra att tänka på om koppla samman sik med säl då inga sälar observerades just i detta smala passage
6834239,615641,Gävleborgs län,Agöfjärden,Fredningsområde sik,"Nordiska kustöversiktsnät (30,15,38,10,48,12,24,60,19 mm)",Agöfjärden,106,"0,1-3 m",NEJ,2010-11-03,1,Provfiskad ,Siklöja,5,"0,368","0,376","5,00",natt,1,översiktsnät,1,"61,62407","17,18130",Station 106 ligger väldigt nära farleden som passerar genom ett trångt sund. Bra att tänka på om koppla samman sik med säl då inga sälar observerades just i detta smala passage
