SWEREF99TM_N,SWEREF99TM_E,Län,Lokal,Fiske,redskapet,Fångstområde1,StationsNr1,DJUPSTRATUM,Störning1,Fiskedatum1,Ansträngning,Fångsttyp1,Artbestämning,Antal1,Vikt,Beräknad_vikt1,Antal_per_anstr1,Fisketid_enhet,Fisketid,Redskap_enhet,Antal_Redskap,Lat_grader,Long_grader,Information
6697110,676165,Uppsala län,Forsmark,SKB akustik sjöar,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Eckarfjärden (insjö),, -,NEJ,2014-09-04,1,Provfiskad ,Abborre,12,"0,608","0,675","12,00",natt,1,översiktsnät,1,"60,37198","18,19512","K098
Gädda maska 10 ingen vikt då den återutsattes
Sutare maska 55 ingen vikt då den återutsattes"
6697110,676165,Uppsala län,Forsmark,SKB akustik sjöar,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Eckarfjärden (insjö),, -,NEJ,2014-09-04,1,Provfiskad ,Gädda,1,,"0,864","1,00",natt,1,översiktsnät,1,"60,37198","18,19512","K098
Gädda maska 10 ingen vikt då den återutsattes
Sutare maska 55 ingen vikt då den återutsattes"
6697110,676165,Uppsala län,Forsmark,SKB akustik sjöar,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Eckarfjärden (insjö),, -,NEJ,2014-09-04,1,Provfiskad ,Gärs,1,"0,023","0,018","1,00",natt,1,översiktsnät,1,"60,37198","18,19512","K098
Gädda maska 10 ingen vikt då den återutsattes
Sutare maska 55 ingen vikt då den återutsattes"
6697110,676165,Uppsala län,Forsmark,SKB akustik sjöar,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Eckarfjärden (insjö),, -,NEJ,2014-09-04,1,Provfiskad ,Mört,21,"0,420","0,424","21,00",natt,1,översiktsnät,1,"60,37198","18,19512","K098
Gädda maska 10 ingen vikt då den återutsattes
Sutare maska 55 ingen vikt då den återutsattes"
6697110,676165,Uppsala län,Forsmark,SKB akustik sjöar,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Eckarfjärden (insjö),, -,NEJ,2014-09-04,1,Provfiskad ,Sutare,3,"1,298","2,475","3,00",natt,1,översiktsnät,1,"60,37198","18,19512","K098
Gädda maska 10 ingen vikt då den återutsattes
Sutare maska 55 ingen vikt då den återutsattes"
6697009,676256,Uppsala län,Forsmark,SKB akustik sjöar,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Eckarfjärden (insjö),, -,NEJ,2013-09-04,1,Provfiskad ,Abborre,30,"0,582","0,590","30,00",natt,1,översiktsnät,1,"60,37103","18,19668","Station 4; djup 1,7 m"
6697009,676256,Uppsala län,Forsmark,SKB akustik sjöar,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Eckarfjärden (insjö),, -,NEJ,2013-09-04,1,Provfiskad ,Mört,6,"0,105","0,108","6,00",natt,1,översiktsnät,1,"60,37103","18,19668","Station 4; djup 1,7 m"
6696920,676147,Uppsala län,Forsmark,SKB akustik sjöar,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Eckarfjärden (insjö),, -,NEJ,2014-09-04,1,Provfiskad ,Abborre,36,"1,777","1,976","36,00",natt,1,översiktsnät,1,"60,37028","18,19463",K098
6696920,676147,Uppsala län,Forsmark,SKB akustik sjöar,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Eckarfjärden (insjö),, -,NEJ,2014-09-04,1,Provfiskad ,Mört,9,"0,127","0,132","9,00",natt,1,översiktsnät,1,"60,37028","18,19463",K098
6696906,676328,Uppsala län,Forsmark,SKB akustik sjöar,"Nordiskt översiktsnät - Bnord12 (43,19,6,10,55,8,12,24,15,5,35,29)",Eckarfjärden (insjö),, -,NEJ,2014-09-04,1,Provfiskad ,Abborre,51,"1,683","1,914","51,00",natt,1,översiktsnät,1,"60,37008","18,19788",K098
