SWEREF99TM_N,SWEREF99TM_E,Län,Lokal,Fiske,redskapet,Fångstområde1,StationsNr1,DJUPSTRATUM,Störning1,Fiskedatum1,Ansträngning,Fångsttyp1,Artbestämning,Antal1,Vikt,Beräknad_vikt1,Antal_per_anstr1,Fisketid_enhet,Fisketid,Redskap_enhet,Antal_Redskap,Lat_grader,Long_grader,Information
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,NEJ,2006-01-31,2,Provfiskad ,Abborre,1,"0,035","0,044","0,50",natt,1,översiktsnät,2,"60,42217","18,18763",
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,NEJ,2006-01-31,2,Provfiskad ,Gädda,1,"5,648","6,238","0,50",natt,1,översiktsnät,2,"60,42217","18,18763",
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,NEJ,2006-01-31,2,Provfiskad ,Gärs,1,"0,011","0,014","0,50",natt,1,översiktsnät,2,"60,42217","18,18763",
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,NEJ,2006-01-31,2,Provfiskad ,Mört,10,"1,416","1,542","5,00",natt,1,översiktsnät,2,"60,42217","18,18763",
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,NEJ,2006-02-22,2,Provfiskad ,Abborre,3,"0,643","0,845","1,50",natt,1,översiktsnät,2,"60,42217","18,18763",
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,NEJ,2006-02-22,2,Provfiskad ,Gärs,2,"0,055","0,056","1,00",natt,1,översiktsnät,2,"60,42217","18,18763",
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,NEJ,2006-02-22,2,Provfiskad ,Mört,8,"0,964","1,106","4,00",natt,1,översiktsnät,2,"60,42217","18,18763",
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,JA,2006-03-07,2,Provfiskad ,Abborre,3,"0,275","0,300","1,50",natt,1,översiktsnät,2,"60,42217","18,18763","Temperaturmätare trasig vid läggning, temperatur saknas "
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,JA,2006-03-07,2,Provfiskad ,Gärs,6,"0,190","0,188","3,00",natt,1,översiktsnät,2,"60,42217","18,18763","Temperaturmätare trasig vid läggning, temperatur saknas "
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,JA,2006-03-07,2,Provfiskad ,Mört,34,"3,986","4,355","17,00",natt,1,översiktsnät,2,"60,42217","18,18763","Temperaturmätare trasig vid läggning, temperatur saknas "
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,JA,2006-03-21,2,Provfiskad ,Abborre,2,"0,233","0,278","1,00",natt,1,översiktsnät,2,"60,42217","18,18763",14 ålbulor
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,JA,2006-03-21,2,Provfiskad ,Gulål,1,"0,371","0,361","0,50",natt,1,översiktsnät,2,"60,42217","18,18763",14 ålbulor
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,JA,2006-03-21,2,Provfiskad ,Mört,1,"0,065","0,067","0,50",natt,1,översiktsnät,2,"60,42217","18,18763",14 ålbulor
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,JA,2006-04-06,2,Provfiskad ,Abborre,6,"1,252","1,382","3,00",natt,1,översiktsnät,2,"60,42217","18,18763",6 ålbulor
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,JA,2006-04-06,2,Provfiskad ,Mört,3,"0,225","0,251","1,50",natt,1,översiktsnät,2,"60,42217","18,18763",6 ålbulor
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,JA,2006-04-19,2,Provfiskad ,Abborre,7,"1,007","1,184","3,50",natt,1,översiktsnät,2,"60,42217","18,18763",10 ålbulor
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,JA,2006-04-19,2,Provfiskad ,Mört,10,"1,649","1,583","5,00",natt,1,översiktsnät,2,"60,42217","18,18763",10 ålbulor
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,JA,2006-05-03,2,Provfiskad ,Abborre,7,"1,168","1,230","3,50",natt,1,översiktsnät,2,"60,42217","18,18763",25 ålbulor
6702676,675482,Uppsala län,"Biotestsjön, Forsmark",Kontrollprogram kustöversiktsnät,Kustöversiktsnät  (17 22 25 33 50 mm) - djupnät,Biotestsjön,1, -,JA,2006-05-03,2,Provfiskad ,Gulål,1,"0,998","0,997","0,50",natt,1,översiktsnät,2,"60,42217","18,18763",25 ålbulor
